Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,14.09,14.13,13.81,13.81,12.042349,20177800
2022-01-04,13.84,13.87,13.54,13.55,11.815628,41351400
2022-01-05,13.68,13.93,13.59,13.66,11.911547,58210800
2022-01-06,13.98,14.14,13.87,14.01,12.216749,29066000
2022-01-07,14.11,14.83,14.11,14.81,12.914351,45638800
2022-01-10,14.85,14.88,14.53,14.65,12.77483,27748400
2022-01-11,14.88,15.25,14.83,15.24,13.28931,31868700
2022-01-12,15.5,15.6,15.32,15.55,13.559632,31876700
2022-01-13,15.36,15.54,15.21,15.3,13.341631,32193900
2022-01-14,15.06,15.44,15.03,15.38,13.411391,25261600
2022-01-18,15.53,15.76,15.36,15.51,13.524752,30724100
2022-01-19,16.139999,16.309999,16.030001,16.18,14.108994,36933100
2022-01-20,16.370001,16.4,15.94,15.99,13.943313,35470000
2022-01-21,15.93,15.97,15.48,15.6,13.603231,45786200
2022-01-24,15.19,15.35,14.93,15.31,13.350351,50534100
2022-01-25,15.44,15.59,15.12,15.48,13.49859,26965000
2022-01-26,15.85,15.85,15.38,15.53,13.542192,37747800
2022-01-27,15.79,15.88,15.36,15.57,13.577071,34056100
2022-01-28,15.87,15.95,15.36,15.58,13.585792,42797600
2022-01-31,15.36,15.5,15.17,15.18,13.236992,40405400
2022-02-01,15.5,16.200001,15.49,16.18,14.108994,35334500
2022-02-02,16.07,16.379999,15.98,16.35,14.257235,26142100
2022-02-03,16.190001,16.450001,16.139999,16.15,14.082832,22268000
2022-02-04,16.17,16.6,16.110001,16.549999,14.431634,30025300
2022-02-07,16.799999,17.219999,16.690001,17.17,14.972276,34645300
2022-02-08,17.120001,17.440001,17.09,17.43,15.198996,36637900
2022-02-09,17.129999,17.540001,17.110001,17.51,15.268755,36936500
2022-02-10,17.709999,18.15,17.68,17.85,15.565236,55181900
2022-02-11,17.629999,17.93,17.48,17.540001,15.294916,38011300
2022-02-14,17.6,17.610001,17.360001,17.49,15.251315,24138500
2022-02-15,17.24,17.27,16.83,17.139999,14.946114,35562100
2022-02-16,17.34,17.51,17.25,17.440001,15.207715,20295800
2022-02-17,17.08,17.129999,16.459999,16.6,14.475235,38657400
2022-02-18,16.870001,16.870001,16.610001,16.639999,14.510112,26247500
2022-02-22,16.92,17.26,16.889999,17.18,14.980995,34551700
2022-02-23,17.120001,17.32,16.99,17.27,15.059476,30476300
2022-02-24,16.440001,17.17,16.290001,17.07,14.885076,53693900
2022-02-25,16.73,17.9,16.719999,17.82,15.539076,42396700
2022-02-28,17.6,18.5,17.6,18.49,16.123318,35627200
2022-03-01,18.559999,19.459999,18.559999,18.860001,16.445959,49064600
2022-03-02,19.120001,19.5,18.73,19.469999,16.977877,48983100
2022-03-03,19.98,20.120001,19.66,19.84,17.30052,39768400
2022-03-04,19.450001,20.16,19.299999,20.15,17.570841,28813300
2022-03-07,20.76,20.959999,20.4,20.6,17.963242,51694500
2022-03-08,20.469999,20.469999,19.67,19.82,17.283079,63201200
2022-03-09,18.719999,18.860001,18.42,18.719999,16.323877,62036300
2022-03-10,18.66,19.34,18.620001,19.309999,16.838358,46070300
2022-03-11,19.4,19.58,19.059999,19.07,16.629078,31342900
2022-03-14,18.610001,18.690001,17.790001,17.799999,15.521636,50674400
2022-03-15,17.280001,17.4,16.950001,17.24,15.033314,65998600
2022-03-16,17.91,17.959999,17.34,17.75,15.478035,53546400
2022-03-17,18.25,18.799999,18.120001,18.700001,16.306437,41943900
2022-03-18,18.549999,19.08,18.450001,19.059999,16.620358,32235000
2022-03-21,19.629999,20.1,19.57,19.940001,17.387722,35748200
2022-03-22,19.889999,19.9,19.42,19.559999,17.05636,35086200
2022-03-23,19.870001,20.24,19.83,19.93,17.379002,31530900
2022-03-24,19.799999,20.23,19.77,20.02,17.457481,28676600
2022-03-25,20.200001,20.25,19.74,19.940001,17.387722,27451000
2022-03-28,19.85,20.059999,19.469999,19.969999,17.413879,25124400
2022-03-29,19.75,19.950001,19.540001,19.950001,17.396442,27429800
2022-03-30,20.17,20.299999,19.969999,20.030001,17.4662,35389300
2022-03-31,20.219999,20.4,19.959999,19.99,17.431322,29515000
2022-04-01,20.389999,20.83,20.360001,20.83,18.163803,28897800
2022-04-04,21.09,21.290001,21.040001,21.23,18.512604,30119400
2022-04-05,20.889999,21.09,20.27,20.33,17.727802,45892400
2022-04-06,20.360001,20.59,20.16,20.48,17.858601,31305000
2022-04-07,20.23,20.59,20.1,20.48,17.858601,23755100
2022-04-08,20.42,20.469999,19.92,20.1,17.527243,34815200
2022-04-11,20,20.17,19.76,20.01,17.448763,28814000
2022-04-12,20.5,20.549999,19.889999,19.93,17.379002,21619300
2022-04-13,19.91,20.049999,19.75,19.91,17.361559,28994800
2022-04-14,19.700001,19.700001,19.290001,19.48,16.986599,25599100
2022-04-18,19.389999,19.5,19.24,19.33,16.855801,19069600
2022-04-19,18.889999,19.049999,18.549999,18.75,16.350037,32522200
2022-04-20,18.469999,18.57,18.08,18.450001,16.08844,36712300
2022-04-21,18.34,18.360001,17.440001,17.65,15.390834,28050000
2022-04-22,17.66,17.66,16.610001,16.700001,14.562435,44664600
2022-04-25,16.139999,16.299999,15.7,16.18,14.108994,56363600
2022-04-26,15.92,15.98,15.57,15.61,13.611952,48071200
2022-04-27,16.120001,16.559999,15.95,16.4,14.300833,60351400
2022-04-28,16.4,17.15,16.219999,17,14.824035,46759200
2022-04-29,17.57,17.76,16.870001,16.889999,14.728112,47752500
2022-05-02,16.459999,16.51,16,16.389999,14.292113,40078300
2022-05-03,16.58,16.84,16.48,16.639999,14.510112,31293600
2022-05-04,16.24,16.65,15.89,16.6,14.475235,51393500
2022-05-05,16.52,16.540001,15.68,16.01,13.960752,38963800
2022-05-06,15.73,16.040001,15.35,15.72,13.707872,41891100
2022-05-09,15.1,15.23,14.77,14.81,12.914351,44222100
2022-05-10,15,15.04,14.52,14.7,12.81843,35022300
2022-05-11,15.27,15.64,15.18,15.24,13.28931,41159800
2022-05-12,14.84,15.21,14.64,15.15,13.210831,36213900
2022-05-13,15.19,15.58,15.14,15.42,13.446271,25381100
2022-05-16,15.67,15.98,15.67,15.84,13.812512,30722500
2022-05-17,16.379999,16.41,15.89,16.110001,14.047954,41171500
